"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: prefix","Param: size"
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchIntrinsic","thrpt",1,5,6814.097563,1446.923666,"ops/ms",0.75,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchIntrinsic:CPI","thrpt",1,1,0.290646,NaN,"clks/insn",0.75,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchIntrinsic:IPC","thrpt",1,1,3.440606,NaN,"insns/clk",0.75,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchIntrinsic:L1-dcache-load-misses","thrpt",1,1,0.023837,NaN,"#/op",0.75,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchIntrinsic:L1-dcache-loads","thrpt",1,1,488.797829,NaN,"#/op",0.75,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchIntrinsic:L1-dcache-stores","thrpt",1,1,10.114182,NaN,"#/op",0.75,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchIntrinsic:L1-icache-load-misses","thrpt",1,1,0.020192,NaN,"#/op",0.75,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchIntrinsic:LLC-load-misses","thrpt",1,1,0.000756,NaN,"#/op",0.75,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchIntrinsic:LLC-loads","thrpt",1,1,0.002510,NaN,"#/op",0.75,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchIntrinsic:LLC-store-misses","thrpt",1,1,0.000774,NaN,"#/op",0.75,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchIntrinsic:LLC-stores","thrpt",1,1,0.003653,NaN,"#/op",0.75,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchIntrinsic:branch-misses","thrpt",1,1,0.996595,NaN,"#/op",0.75,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchIntrinsic:branches","thrpt",1,1,485.285677,NaN,"#/op",0.75,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchIntrinsic:cycles","thrpt",1,1,568.664780,NaN,"#/op",0.75,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchIntrinsic:dTLB-load-misses","thrpt",1,1,0.001482,NaN,"#/op",0.75,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchIntrinsic:dTLB-loads","thrpt",1,1,487.940950,NaN,"#/op",0.75,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchIntrinsic:dTLB-store-misses","thrpt",1,1,0.000093,NaN,"#/op",0.75,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchIntrinsic:dTLB-stores","thrpt",1,1,10.261663,NaN,"#/op",0.75,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchIntrinsic:iTLB-load-misses","thrpt",1,1,0.000228,NaN,"#/op",0.75,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchIntrinsic:iTLB-loads","thrpt",1,1,0.002606,NaN,"#/op",0.75,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchIntrinsic:instructions","thrpt",1,1,1956.551729,NaN,"#/op",0.75,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchIntrinsic","thrpt",1,5,4783.395748,83.435983,"ops/ms",1.00,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchIntrinsic:CPI","thrpt",1,1,0.312747,NaN,"clks/insn",1.00,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchIntrinsic:IPC","thrpt",1,1,3.197473,NaN,"insns/clk",1.00,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchIntrinsic:L1-dcache-load-misses","thrpt",1,1,0.186702,NaN,"#/op",1.00,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchIntrinsic:L1-dcache-loads","thrpt",1,1,647.198642,NaN,"#/op",1.00,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchIntrinsic:L1-dcache-stores","thrpt",1,1,12.109974,NaN,"#/op",1.00,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchIntrinsic:L1-icache-load-misses","thrpt",1,1,0.038860,NaN,"#/op",1.00,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchIntrinsic:LLC-load-misses","thrpt",1,1,0.002410,NaN,"#/op",1.00,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchIntrinsic:LLC-loads","thrpt",1,1,0.014344,NaN,"#/op",1.00,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchIntrinsic:LLC-store-misses","thrpt",1,1,0.001597,NaN,"#/op",1.00,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchIntrinsic:LLC-stores","thrpt",1,1,0.008414,NaN,"#/op",1.00,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchIntrinsic:branch-misses","thrpt",1,1,0.995794,NaN,"#/op",1.00,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchIntrinsic:branches","thrpt",1,1,643.679184,NaN,"#/op",1.00,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchIntrinsic:cycles","thrpt",1,1,808.821546,NaN,"#/op",1.00,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchIntrinsic:dTLB-load-misses","thrpt",1,1,0.002280,NaN,"#/op",1.00,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchIntrinsic:dTLB-loads","thrpt",1,1,647.896665,NaN,"#/op",1.00,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchIntrinsic:dTLB-store-misses","thrpt",1,1,0.000100,NaN,"#/op",1.00,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchIntrinsic:dTLB-stores","thrpt",1,1,12.070044,NaN,"#/op",1.00,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchIntrinsic:iTLB-load-misses","thrpt",1,1,0.000019,NaN,"#/op",1.00,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchIntrinsic:iTLB-loads","thrpt",1,1,0.001644,NaN,"#/op",1.00,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchIntrinsic:instructions","thrpt",1,1,2586.185192,NaN,"#/op",1.00,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchVector","thrpt",1,5,7015.937334,227.813235,"ops/ms",0.75,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchVector:CPI","thrpt",1,1,0.322291,NaN,"clks/insn",0.75,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchVector:IPC","thrpt",1,1,3.102783,NaN,"insns/clk",0.75,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchVector:L1-dcache-load-misses","thrpt",1,1,0.045229,NaN,"#/op",0.75,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchVector:L1-dcache-loads","thrpt",1,1,721.439122,NaN,"#/op",0.75,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchVector:L1-dcache-stores","thrpt",1,1,9.420008,NaN,"#/op",0.75,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchVector:L1-icache-load-misses","thrpt",1,1,0.055632,NaN,"#/op",0.75,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchVector:LLC-load-misses","thrpt",1,1,0.001504,NaN,"#/op",0.75,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchVector:LLC-loads","thrpt",1,1,0.008833,NaN,"#/op",0.75,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchVector:LLC-store-misses","thrpt",1,1,0.000860,NaN,"#/op",0.75,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchVector:LLC-stores","thrpt",1,1,0.003924,NaN,"#/op",0.75,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchVector:branch-misses","thrpt",1,1,0.011066,NaN,"#/op",0.75,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchVector:branches","thrpt",1,1,277.073704,NaN,"#/op",0.75,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchVector:cycles","thrpt",1,1,554.209580,NaN,"#/op",0.75,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchVector:dTLB-load-misses","thrpt",1,1,0.000398,NaN,"#/op",0.75,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchVector:dTLB-loads","thrpt",1,1,718.675153,NaN,"#/op",0.75,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchVector:dTLB-store-misses","thrpt",1,1,0.000005,NaN,"#/op",0.75,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchVector:dTLB-stores","thrpt",1,1,9.251961,NaN,"#/op",0.75,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchVector:iTLB-load-misses","thrpt",1,1,0.000021,NaN,"#/op",0.75,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchVector:iTLB-loads","thrpt",1,1,0.000746,NaN,"#/op",0.75,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchVector:instructions","thrpt",1,1,1719.592132,NaN,"#/op",0.75,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchVector","thrpt",1,5,3778.586088,82.425840,"ops/ms",1.00,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchVector:CPI","thrpt",1,1,0.309756,NaN,"clks/insn",1.00,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchVector:IPC","thrpt",1,1,3.228348,NaN,"insns/clk",1.00,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchVector:L1-dcache-load-misses","thrpt",1,1,4.592725,NaN,"#/op",1.00,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchVector:L1-dcache-loads","thrpt",1,1,986.736767,NaN,"#/op",1.00,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchVector:L1-dcache-stores","thrpt",1,1,9.462548,NaN,"#/op",1.00,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchVector:L1-icache-load-misses","thrpt",1,1,0.040585,NaN,"#/op",1.00,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchVector:LLC-load-misses","thrpt",1,1,0.005106,NaN,"#/op",1.00,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchVector:LLC-loads","thrpt",1,1,0.023146,NaN,"#/op",1.00,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchVector:LLC-store-misses","thrpt",1,1,0.002951,NaN,"#/op",1.00,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchVector:LLC-stores","thrpt",1,1,0.019247,NaN,"#/op",1.00,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchVector:branch-misses","thrpt",1,1,0.005302,NaN,"#/op",1.00,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchVector:branches","thrpt",1,1,402.374315,NaN,"#/op",1.00,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchVector:cycles","thrpt",1,1,1025.864313,NaN,"#/op",1.00,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchVector:dTLB-load-misses","thrpt",1,1,0.001459,NaN,"#/op",1.00,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchVector:dTLB-loads","thrpt",1,1,984.341845,NaN,"#/op",1.00,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchVector:dTLB-store-misses","thrpt",1,1,0.000035,NaN,"#/op",1.00,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchVector:dTLB-stores","thrpt",1,1,9.629266,NaN,"#/op",1.00,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchVector:iTLB-load-misses","thrpt",1,1,0.000101,NaN,"#/op",1.00,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchVector:iTLB-loads","thrpt",1,1,0.001665,NaN,"#/op",1.00,10000
"dev.lucifer.benchmarks.ArrayMismatchBenchmark.mismatchVector:instructions","thrpt",1,1,3311.847143,NaN,"#/op",1.00,10000
